"sample_id","L5TG","HDFC","H3TG","H4FC","V1PL","L2FC","L6TG","Alanine","Citric acid","Creatine","Creatinine","Formic acid","Glucose","Glutamic acid","Glycine","Isoleucine","Lactic acid","Methionine","Phenylalanine","Proline","Sarcosine","Trimethylamine-N-oxide"
"sample_001",1.72,15.5,1.99,5.43,5.54,5.43,3.74,0.33,0.207,0.003,0.119,0.026,5.362,0,0.27,0.061,1.963,0.093,0.059,0,0.002,0.017
"sample_002",1.42,4.95,1.19,3.52,4.85,3.9,2.34,0.539,0.204,0.01,0.126,0.013,5.472,0.091,0.247,0.061,2.549,0.07,0.059,0.173,0.007,0.012
"sample_003",1.74,15.65,2.21,5.23,4.28,4.88,2.96,0.485,0.199,0.016,0.106,0.016,4.849,0.087,0.468,0.038,2.337,0.093,0.043,0.334,0.001,0.025
"sample_004",1.52,11.36,1.29,3.55,3.26,5.12,3.22,0.402,0.156,0.019,0.101,0.049,4.417,0.109,0.235,0.061,2.44,0.095,0.077,0.365,0.001,0.044
"sample_005",2.52,18.4,1.81,5.25,2.06,5.26,3.04,0.388,0.122,0.004,0.101,0.021,4.847,0.074,0.289,0.038,2.82,0.105,0.048,0,0.005,0.089
"sample_006",1,17.64,2.12,5.54,7.74,6.57,1.87,0.436,0.099,0.028,0.106,0.011,4.572,0.103,0.312,0.067,2.807,0.078,0.051,0.214,0.004,0.007
"sample_007",3.33,10.62,1.93,4.79,6.91,3.75,4.81,0.434,0.19,0.01,0.105,0.012,4.539,0.056,0.252,0.072,2.746,0.074,0.055,0.28,0.009,0.002
"sample_008",2.23,10.62,1.17,2.53,2.06,8.72,2.63,0.382,0.178,0.008,0.081,0.022,4.772,0.225,0.318,0.064,3.926,0.076,0.109,0.251,0.003,0.013
"sample_009",1.62,10.79,1.56,4.55,4.73,5.53,2.5,0.411,0.096,0.012,0.124,0.014,4.449,0.102,0.257,0.06,1.801,0.074,0.073,0.263,0.004,0.065
"sample_010",3.55,12.3,2.77,3.55,7.17,4.97,3.28,0.542,0.114,0.006,0.074,0.013,5.33,0.069,0.23,0.075,2.368,0.072,0.058,0,0.008,0.008
"sample_011",1.71,10.34,1.96,4.09,3.84,3.19,2.73,0.364,0.174,0.012,0.1,0.016,5.855,0.101,0.293,0.061,2.498,0.083,0.05,0.182,0.003,0.051
"sample_012",2.55,13.75,2.08,1.54,6.48,5.84,3.41,0.79,0.168,0.012,0.114,0.023,5.906,0.133,0.26,0.106,2.656,0.13,0.075,0.488,0.008,0.015
"sample_013",2.89,10.59,1.82,4.05,3.85,1.52,2.87,0.255,0.176,0.066,0.096,0.018,4.075,0.037,0.193,0.051,2,0.061,0.065,0,0.002,0.015
"sample_014",2.49,18.28,3.33,6.02,1.89,6.47,1.93,0.547,0.19,0.052,0.104,0.017,5.398,0.097,0.28,0.077,3.187,0.107,0.082,0,0.004,0.034
"sample_015",2.45,15.06,0.96,4.39,3.59,7.6,3.44,0.377,0.207,0.03,0.125,0.01,4.888,0.088,0.288,0.057,2.303,0.078,0.075,0.274,0.01,0.057
"sample_016",0.55,19.91,1.97,2.6,3.29,11.48,1.5,0.549,0.161,0.014,0.096,0.009,4.773,0,0.451,0.068,2.651,0.071,0.063,0.254,0.004,0.028
"sample_017",0.76,17.02,1.6,4.1,2.63,5.34,2.86,0.427,0.129,0.024,0.109,0.019,5.425,0.082,0.302,0.071,2.441,0.126,0.058,0.345,0.005,0.023
"sample_018",1.74,17.69,1.28,2.99,0.92,7.17,4.97,0.571,0.132,0.037,0.054,0.012,4.068,0.085,0.374,0.056,3.73,0.06,0.067,0,0.001,0.041
"sample_019",2.51,16.11,1.81,5.05,3.67,6.11,2.95,0.382,0.158,0.015,0.087,0.017,5.788,0,0.234,0.07,2.184,0.091,0.057,0,0.003,0.041
"sample_020",0.47,12.34,0.51,4.21,1.8,7.15,2.06,0.365,0.119,0.003,0.104,0.019,4.935,0.051,0.283,0.059,1.834,0.089,0.058,0,0.001,0.034
"sample_021",1.98,17.9,1.92,2.87,3.15,8.32,3.4,0.311,0.214,0.02,0.082,0.013,4.998,0.083,0.277,0.052,2.01,0.036,0.068,0.175,0.005,0.022
"sample_022",3.15,17.34,2.57,5.36,1.67,5.42,4.8,0.461,0.199,0.084,0.079,0.01,4.859,0,0.278,0.038,2.394,0.031,0.055,0,0.003,0.007
"sample_023",3.07,15.35,1.6,6,2.13,4.99,4.34,0.352,0.139,0.037,0.061,0.024,5.574,0.032,0.294,0.038,1.854,0.052,0.052,0,0.004,0.014
"sample_024",0.18,14.54,1.81,2.09,10.25,6.04,1.38,0.421,0.148,0.051,0.08,0.018,4.417,0.055,0.306,0.084,2.6,0.073,0.075,0,0.007,0.017
"sample_025",3.02,7.27,2.08,4.04,11.58,2.37,4.14,0.383,0.16,0.042,0.136,0.005,5.393,0.06,0.242,0.092,2.267,0.085,0.069,0.214,0.007,0.02
"sample_026",2.37,11.01,1.76,2.95,1.8,5.66,2.94,0.422,0.158,0.025,0.1,0.006,5.316,0,0.47,0.038,2.428,0.063,0.05,0,0.003,0.007
